fill time utc;[CH4]
06.08.21 11:26;2002
06.08.21 11:46;2004
06.08.21 12:24;2029
06.08.21 12:44;2007
06.08.21 13:03;1989
06.08.21 13:23;2004
06.08.21 14:01;2021
06.08.21 14:21;2003
06.08.21 14:40;2018
06.08.21 14:59;2023
06.08.21 15:38;1997
06.08.21 15:57;2022
06.08.21 16:17;2004
06.08.21 16:36;2016
06.08.21 17:15;2009
06.08.21 17:34;2011
06.08.21 17:54;2020
06.08.21 18:13;2021
06.08.21 18:52;1999
06.08.21 19:11;2035
06.08.21 19:30;1999
06.08.21 19:50;2024
06.08.21 20:28;2005
06.08.21 20:48;1981
06.08.21 21:07;2013
06.08.21 22:05;2254
06.08.21 22:44;2063
06.08.21 23:03;2069
06.08.21 23:23;2047
06.08.21 23:42;2050
07.08.21 00:21;2112
07.08.21 00:40;2097
07.08.21 01:00;2127
07.08.21 01:19;2092
07.08.21 01:58;2054
07.08.21 02:17;2111
07.08.21 02:36;2066
07.08.21 02:56;2094
07.08.21 03:34;2125
07.08.21 03:54;2084
07.08.21 04:13;2113
07.08.21 04:33;2097
07.08.21 05:11;2071
07.08.21 05:31;2082
07.08.21 05:50;2054
07.08.21 06:09;2104
07.08.21 06:48;2110
07.08.21 07:07;2096
07.08.21 07:27;2068
07.08.21 07:46;2089
07.08.21 08:25;2059
07.08.21 08:44;2130
07.08.21 09:04;2105
07.08.21 09:23;2204
07.08.21 10:02;2112
07.08.21 10:21;2009
07.08.21 10:40;2024
07.08.21 11:00;2055
07.08.21 11:39;1975
07.08.21 11:58;2017
07.08.21 12:17;1959
07.08.21 12:37;2010
07.08.21 13:15;2004
07.08.21 13:35;2037
07.08.21 13:54;1996
07.08.21 14:13;1995
07.08.21 14:52;1994
07.08.21 15:11;2000
07.08.21 15:31;1971
07.08.21 15:50;1987
07.08.21 16:29;1965
07.08.21 16:48;2016
07.08.21 17:08;1973
07.08.21 18:06;1996
07.08.21 18:44;2004
07.08.21 19:04;2026
07.08.21 19:23;2057
07.08.21 19:43;1999
07.08.21 20:21;2052
07.08.21 20:41;2184
07.08.21 21:00;2316
07.08.21 21:19;2440
07.08.21 21:58;2542
07.08.21 22:17;2991
07.08.21 22:37;2519
07.08.21 22:56;2304
07.08.21 23:35;2107
07.08.21 23:54;2045
08.08.21 00:14;2027
08.08.21 00:33;2011
08.08.21 01:12;2041
08.08.21 01:31;2097
08.08.21 01:50;2111
08.08.21 02:10;2072
08.08.21 02:48;2064
08.08.21 03:08;2034
08.08.21 03:27;2074
08.08.21 03:47;2047
08.08.21 04:25;2073
08.08.21 04:45;2075
08.08.21 05:04;2069
08.08.21 05:23;2037
