"fill.time.utc","X.CH4.","X.CH4..2H","d2H.VPDB","sd..CH4..x","sd.d2H","X.CH4..13C","d13C.VPDB","sd..CH4..y","sd.d13C","c13C","c2H"
2021-08-03 01:09:00,2093,NA,NA,NA,NA,2093,-48.3,"1","0,05",0.000477783086478739,NA
2021-08-03 01:28:00,2086,2086,-99.4,7,0.64,NA,NA,NA,NA,NA,0.000479386385426654
2021-08-03 01:48:00,2119,NA,NA,NA,NA,2119,-48.38,"1","0,05",0.00047192071731949,NA
2021-08-03 02:06:00,2108,2108,-102.48,7,0.64,NA,NA,NA,NA,NA,0.00047438330170778
2021-08-03 03:05:00,2155,NA,NA,NA,NA,2155,-48.77,"6","0,05",0.000464037122969838,NA
2021-08-03 03:24:00,2145,2145,-105.7,7,0.64,NA,NA,NA,NA,NA,0.000466200466200466
2021-08-03 03:44:00,2157,NA,NA,NA,NA,2157,-48.48,"6","0,05",0.000463606861381548,NA
2021-08-03 04:23:00,2123,NA,NA,NA,NA,2123,-48.38,"6","0,05",0.000471031559114461,NA
2021-08-03 04:41:00,2025,2025,-94.13,3,0.5,NA,NA,NA,NA,NA,0.000493827160493827
2021-08-03 05:02:00,1995,NA,NA,NA,NA,1995,-47.94,"6","0,05",0.00050125313283208,NA
2021-08-03 05:20:00,1990,1990,-88.91,3,0.5,NA,NA,NA,NA,NA,0.00050251256281407
2021-08-03 06:19:00,3077,NA,NA,NA,NA,3077,-53.05,"3","0,15",0.00032499187520312,NA
2021-08-03 06:37:00,2545,2545,-137.64,4,0.5,NA,NA,NA,NA,NA,0.000392927308447937
2021-08-03 06:58:00,2374,NA,NA,NA,NA,2374,-50.28,"2","0,15",0.0004212299915754,NA
2021-08-03 07:36:00,2175,NA,NA,NA,NA,2175,-48.81,"2","0,15",0.000459770114942529,NA
2021-08-03 07:56:00,2028,2028,-92.82,1,0.82,NA,NA,NA,NA,NA,0.000493096646942801
2021-08-03 08:15:00,2006,NA,NA,NA,NA,2006,-48.01,"2","0,15",0.000498504486540379,NA
2021-08-03 08:34:00,1977,1977,-87.85,1,0.82,NA,NA,NA,NA,NA,0.000505816894284269
