fill time utc;[CH4] 2H;d2H VPDB;sd [CH4];sd d2H
07.08.21 02:56;2094;-100,72;4;0,16
07.08.21 03:34;2125;-100,73;4;0,16
07.08.21 04:13;2113;-100,07;4;0,16
07.08.21 05:31;2082;-98,45;8;0,54
07.08.21 06:09;2104;-103,10;8;0,54
07.08.21 06:48;2110;-101,23;8;0,54
07.08.21 07:27;2068;-97,59;8;0,54
07.08.21 08:44;2130;-103,08;1;0,03
07.08.21 09:23;2204;-110,54;1;0,03
07.08.21 10:02;2112;-102,51;1;0,03
07.08.21 10:40;2024;-93,67;1;0,03
07.08.21 11:58;2017;-91,48;3;0,26
07.08.21 12:37;2010;-92,58;3;0,26
07.08.21 13:15;2004;-91,24;3;0,26
07.08.21 13:54;1996;-90,35;3;0,26
07.08.21 15:11;2000;-90,51;4;0,11
07.08.21 15:50;1987;-88,96;4;0,11
07.08.21 16:29;1965;-88,10;4;0,11
07.08.21 17:08;1973;-92,12;4;0,11
07.08.21 19:04;2026;-93,13;2;0,04
07.08.21 19:43;1999;-92,62;2;0,04
07.08.21 20:21;2052;-95,34;2;0,04
07.08.21 21:00;2316;-123,49;2;0,04
07.08.21 22:17;2991;-167,66;3;0,48
07.08.21 22:56;2304;-119,66;2;0,48
07.08.21 23:35;2107;-101,34;2;0,48
08.08.21 00:14;2027;-93,91;2;0,48
08.08.21 01:31;2097;-100,40;2;1,15
08.08.21 02:10;2072;-98,46;2;1,15
08.08.21 02:48;2064;-97,33;2;1,15
08.08.21 03:27;2074;-97,44;2;1,15
08.08.21 04:45;2075;-97,26;3;0,51
08.08.21 05:23;2037;-95,26;3;0,51
08.08.21 06:02;2023;-93,53;3;0,51
08.08.21 06:41;2026;-93,58;3;0,51
08.08.21 07:58;2098;-102,62;0;0,27
08.08.21 08:37;2043;-95,47;0;0,27
08.08.21 09:16;2043;-94,62;0;0,27
08.08.21 09:54;2041;-97,22;0;0,27
08.08.21 11:12;2017;-94,29;6;0,15
08.08.21 11:51;2025;-92,97;6;0,15
08.08.21 12:29;2007;-91,19;6;0,15
08.08.21 13:08;1999;-91,03;6;0,15
08.08.21 14:25;2006;-92,44;6;0,15
08.08.21 15:43;2008;-91,85;2;0,50
08.08.21 16:22;2003;-89,61;2;0,50
08.08.21 17:00;2010;-90,36;2;0,50
08.08.21 17:39;2002;-89,25;2;0,50
08.08.21 18:57;2023;-91,85;1;0,46
08.08.21 19:35;2027;-92,81;1;0,46
08.08.21 20:14;2023;-92,85;1;0,46
08.08.21 20:53;2041;-94,07;1;0,46
08.08.21 22:10;2020;-92,09;4;0,32
08.08.21 22:49;2098;-101,10;4;0,32
08.08.21 23:28;2022;-93,45;4;0,32
09.08.21 00:06;2028;-92,57;4;0,32
09.08.21 01:24;2129;-104,65;8;0,88
09.08.21 02:03;2033;-94,83;8;0,88
09.08.21 02:41;2024;-93,71;8;0,88
09.08.21 03:20;2035;-95,14;8;0,88
09.08.21 04:37;2062;-94,41;12;1,77
09.08.21 05:16;2047;-94,32;12;1,77
09.08.21 05:55;2029;-94,81;12;1,77
09.08.21 06:34;2028;-93,94;12;1,77
09.08.21 07:51;2040;-94,08;12;1,39
09.08.21 08:30;2028;-92,08;12;1,39
09.08.21 09:08;2016;-90,45;12;1,39
09.08.21 09:47;2031;-91,54;12;1,39
09.08.21 11:05;2026;-90,85;12;1,39
09.08.21 12:22;1988;-87,27;4;0,39
09.08.21 13:01;1996;-90,04;4;0,39
09.08.21 13:40;1988;-90,35;4;0,39
09.08.21 14:18;1977;-87,89;4;0,39
09.08.21 15:36;1988;-89,05;0;0,55
09.08.21 16:14;1977;-88,86;0;0,55
09.08.21 16:53;1985;-89,10;0;0,55
09.08.21 17:32;1998;-89,77;0;0,55
09.08.21 18:49;1963;-87,74;20;1,36
09.08.21 19:28;1981;-88,21;20;1,36
09.08.21 20:07;1974;-88,69;20;1,36
09.08.21 20:45;1967;-90,26;20;1,36
09.08.21 22:03;2002;-92,93;19;0,84
09.08.21 22:42;2007;-94,82;19;0,84
09.08.21 23:20;2643;-149,39;26;0,84
09.08.21 23:59;3441;-189,03;33;0,84
